model,quant,provider,kld
gemma-4-26B-A4B,UD-IQ2_XXS,unsloth,2.88
gemma-4-26B-A4B,UD-IQ2_M,unsloth,2.84
gemma-4-26B-A4B,UD-Q2_K_XL,unsloth,2.58
gemma-4-26B-A4B,UD-IQ3_S,unsloth,2.17
gemma-4-26B-A4B,UD-IQ3_XXS,unsloth,2.17
gemma-4-26B-A4B,UD-Q3_K_S,unsloth,1.74
gemma-4-26B-A4B,UD-Q3_K_M,unsloth,1.74
gemma-4-26B-A4B,UD-Q3_K_XL,unsloth,1.71
gemma-4-26B-A4B,UD-IQ4_XS,unsloth,1.45
gemma-4-26B-A4B,UD-IQ4_NL,unsloth,1.45
gemma-4-26B-A4B,UD-IQ4_NL_XL,unsloth,1.26
gemma-4-26B-A4B,MXFP4_MOE,unsloth,1.26
gemma-4-26B-A4B,UD-Q4_K_S,unsloth,1.0
gemma-4-26B-A4B,UD-Q4_K_M,unsloth,0.971
gemma-4-26B-A4B,UD-Q4_K_XL,unsloth,0.945
gemma-4-26B-A4B,UD-Q5_K_S,unsloth,0.818
gemma-4-26B-A4B,UD-Q5_K_XL,unsloth,0.713
gemma-4-26B-A4B,UD-Q6_K_XL,unsloth,0.589
gemma-4-26B-A4B,UD-Q6_K,unsloth,0.604
gemma-4-26B-A4B,UD-Q5_K_M,unsloth,0.731
gemma-4-26B-A4B,Q8_0,unsloth,0.555
gemma-4-26B-A4B,UD-Q8_K_XL,unsloth,0.533
gemma-4-26B-A4B,IQ2_XXS,bartowski,4.73
gemma-4-26B-A4B,IQ2_XS,bartowski,4.57
gemma-4-26B-A4B,IQ2_S,bartowski,4.51
gemma-4-26B-A4B,Q2_K,bartowski,4.0
gemma-4-26B-A4B,Q2_K_L,bartowski,3.99
gemma-4-26B-A4B,IQ2_M,bartowski,3.58
gemma-4-26B-A4B,Q3_K_S,bartowski,3.43
gemma-4-26B-A4B,Q3_K_M,bartowski,3.72
gemma-4-26B-A4B,Q3_K_L,bartowski,3.92
gemma-4-26B-A4B,Q3_K_XL,bartowski,3.89
gemma-4-26B-A4B,Q4_0,bartowski,2.37
gemma-4-26B-A4B,IQ3_XXS,bartowski,2.56
gemma-4-26B-A4B,IQ3_XS,bartowski,2.33
gemma-4-26B-A4B,IQ3_M,bartowski,2.11
gemma-4-26B-A4B,IQ4_XS,bartowski,1.76
gemma-4-26B-A4B,IQ4_NL,bartowski,1.73
gemma-4-26B-A4B,Q4_1,bartowski,1.6
gemma-4-26B-A4B,Q4_K_S,bartowski,1.56
gemma-4-26B-A4B,Q4_K_M,bartowski,1.29
gemma-4-26B-A4B,Q4_K_L,bartowski,1.27
gemma-4-26B-A4B,Q5_K_S,bartowski,1.02
gemma-4-26B-A4B,Q5_K_M,bartowski,0.936
gemma-4-26B-A4B,Q5_K_L,bartowski,0.896
gemma-4-26B-A4B,Q6_K,bartowski,0.69
gemma-4-26B-A4B,Q6_K_L,bartowski,0.638
gemma-4-26B-A4B,Q8_0,bartowski,0.555
