model,quant,provider,kld
Qwen3.6-35B-A3B,UD-IQ1_M,unsloth,0.193
Qwen3.6-35B-A3B,UD-IQ2_XSS,unsloth,0.158
Qwen3.6-35B-A3B,UD-IQ2_M,unsloth,0.139
Qwen3.6-35B-A3B,UD-Q2_K_XL,unsloth,0.115
Qwen3.6-35B-A3B,UD-IQ3_XXS,unsloth,0.0882
Qwen3.6-35B-A3B,UD-IQ3_S,unsloth,0.0842
Qwen3.6-35B-A3B,UD-Q3_K_S,unsloth,0.052
Qwen3.6-35B-A3B,UD-Q3_K_M,unsloth,0.0429
Qwen3.6-35B-A3B,UD-Q3_K_XL,unsloth,0.0424
Qwen3.6-35B-A3B,UD-IQ4_XS,unsloth,0.033
Qwen3.6-35B-A3B,UD-IQ4_NL,unsloth,0.0328
Qwen3.6-35B-A3B,UD-Q4_K_S,unsloth,0.0154
Qwen3.6-35B-A3B,UD-Q4_K_M,unsloth,0.0125
Qwen3.6-35B-A3B,UD-Q4_K_XL,unsloth,0.0118
Qwen3.6-35B-A3B,UD-Q5_K_S,unsloth,0.00768
Qwen3.6-35B-A3B,UD-Q5_K_M,unsloth,0.00666
Qwen3.6-35B-A3B,UD-Q5_K_XL,unsloth,0.00658
Qwen3.6-35B-A3B,UD-Q6_K,unsloth,0.00526
Qwen3.6-35B-A3B,UD-Q6_K_XL,unsloth,0.00486
Qwen3.6-35B-A3B,IQ1_M,bartowski,0.416
Qwen3.6-35B-A3B,IQ2_XXS,bartowski,0.252
Qwen3.6-35B-A3B,IQ2_XS,bartowski,0.192
Qwen3.6-35B-A3B,IQ2_S,bartowski,0.181
Qwen3.6-35B-A3B,IQ2_M,bartowski,0.143
Qwen3.6-35B-A3B,Q2_K,bartowski,0.146
Qwen3.6-35B-A3B,Q2_K_L,bartowski,0.138
Qwen3.6-35B-A3B,IQ3_XXS,bartowski,0.076
Qwen3.6-35B-A3B,Q3_K_S,bartowski,0.0625
Qwen3.6-35B-A3B,Q3_K_M,bartowski,0.0574
Qwen3.6-35B-A3B,IQ3_XS,bartowski,0.0552
Qwen3.6-35B-A3B,IQ3_M,bartowski,0.0528
Qwen3.6-35B-A3B,Q3_K_L,bartowski,0.0638
Qwen3.6-35B-A3B,Q3_K_XL,bartowski,0.0621
Qwen3.6-35B-A3B,IQ4_XS,bartowski,0.0275
Qwen3.6-35B-A3B,IQ4_NL,bartowski,0.0272
Qwen3.6-35B-A3B,Q4_0,bartowski,0.0364
Qwen3.6-35B-A3B,Q4_K_S,bartowski,0.0212
Qwen3.6-35B-A3B,Q4_K_M,bartowski,0.0187
Qwen3.6-35B-A3B,Q4_K_L,bartowski,0.0177
Qwen3.6-35B-A3B,Q4_1,bartowski,0.0246
Qwen3.6-35B-A3B,Q5_K_S,bartowski,0.0106
Qwen3.6-35B-A3B,Q5_K_M,bartowski,0.00917
Qwen3.6-35B-A3B,Q5_K_L,bartowski,0.00863
Qwen3.6-35B-A3B,Q6_K,bartowski,0.0062
Qwen3.6-35B-A3B,Q6_K_L,bartowski,0.00555
Qwen3.6-35B-A3B,IQ3_S,AesSedai,0.0844
Qwen3.6-35B-A3B,IQ4_XS,AesSedai,0.0327
Qwen3.6-35B-A3B,Q4_K_M,AesSedai,0.0122
Qwen3.6-35B-A3B,Q5_K_M,AesSedai,0.00671
