model,quant,provider,size_gib,params,model_type,mmproj,ctx,ngl,ubatch,moe_cpu,pp1024_tps,pp1024_stddev_tps,tg128_tps,tg128_stddev_tps,reps,vctx,vngl,vubatch,vpp1024_tps,vpp1024_stddev_tps,vtg128_tps,vtg128_stddev_tps,vreps,vision,reason,switch,effort
Qwen3.5-0.8B,Q4_K_M,unsloth,0.49,752M,Dense,197M,262144,all,512,no,14902.8,866.0,277.5,1.0,5,262144,all,512,14698.9,948.5,277.7,0.9,5,yes,yes,yes,-
Qwen3.5-0.8B,Q4_K_M,bartowski,0.51,752M,Dense,197M,262144,all,512,no,15317.0,797.2,272.3,0.8,5,262144,all,512,15203.0,878.6,272.3,0.9,5,yes,yes,yes,-
Qwen3.5-0.8B,UD-Q4_K_XL,unsloth,0.51,752M,Dense,197M,262144,all,512,no,15510.1,477.9,271.0,0.9,5,262144,all,512,15656.2,195.3,271.0,0.8,5,yes,yes,yes,-
Qwen3.5-0.8B,Q5_K_M,unsloth,0.54,752M,Dense,197M,262144,all,512,no,14722.4,796.9,257.3,0.7,5,262144,all,512,14558.3,845.1,257.3,0.8,5,yes,yes,yes,-
Qwen3.5-0.8B,Q5_K_M,bartowski,0.57,752M,Dense,197M,262144,all,512,no,15057.9,726.6,249.4,0.6,5,262144,all,512,15046.6,825.3,249.3,0.7,5,yes,yes,yes,-
Qwen3.5-0.8B,UD-Q5_K_XL,unsloth,0.55,752M,Dense,197M,262144,all,512,no,14774.1,536.3,255.7,0.6,5,262144,all,512,15392.6,140.5,255.7,0.8,5,yes,yes,yes,-
Qwen3.5-0.8B,Q8_0,unsloth,0.75,752M,Dense,197M,262144,all,512,no,16010.6,66.7,213.2,0.5,5,262144,all,512,15608.6,741.3,213.0,0.5,5,yes,yes,yes,-
Qwen3.5-0.8B,Q8_0,bartowski,0.75,752M,Dense,197M,262144,all,512,no,15795.9,722.5,213.8,0.5,5,262144,all,512,15347.8,930.4,212.3,3.4,5,yes,yes,yes,-
Qwen3.5-0.8B,UD-Q8_K_XL,unsloth,1.09,752M,Dense,197M,262144,all,512,no,15709.2,486.2,163.6,0.2,5,262144,all,512,15714.4,528.7,163.6,0.3,5,yes,yes,yes,-
Qwen3.5-2B,Q4_K_M,unsloth,1.18,1.9B,Dense,640M,262144,all,512,no,9800.6,30.8,148.7,0.3,5,262144,all,512,9804.8,39.4,148.6,0.3,5,yes,yes,yes,-
Qwen3.5-2B,Q4_K_M,bartowski,1.23,1.9B,Dense,640M,262144,all,512,no,9863.4,121.1,145.1,0.2,5,262144,all,512,9887.7,36.2,145.2,0.2,5,yes,yes,yes,-
Qwen3.5-2B,UD-Q4_K_XL,unsloth,1.24,1.9B,Dense,640M,262144,all,512,no,9863.7,57.0,144.4,0.2,5,262144,all,512,9922.5,50.1,144.3,0.2,5,yes,yes,yes,-
Qwen3.5-2B,Q5_K_M,unsloth,1.33,1.9B,Dense,640M,262144,all,512,no,9397.0,128.6,136.0,0.2,5,262144,all,512,9381.0,75.6,136.0,0.2,5,yes,yes,yes,-
Qwen3.5-2B,Q5_K_M,bartowski,1.39,1.9B,Dense,640M,262144,all,512,no,9874.8,49.5,131.7,0.2,5,262144,all,512,9827.0,24.1,131.7,0.2,5,yes,yes,yes,-
Qwen3.5-2B,UD-Q5_K_XL,unsloth,1.36,1.9B,Dense,640M,262144,all,512,no,9524.9,61.6,134.3,0.2,5,262144,all,512,9511.0,58.1,134.4,0.3,5,yes,yes,yes,-
Qwen3.5-2B,Q8_0,unsloth,1.86,1.9B,Dense,640M,262144,all,512,no,9961.6,44.5,103.6,0.1,5,262144,all,512,9999.7,18.5,103.6,0.1,5,yes,yes,yes,-
Qwen3.5-2B,Q8_0,bartowski,1.87,1.9B,Dense,640M,262144,all,512,no,10201.1,7.7,103.9,0.1,5,262144,all,512,10141.7,49.8,103.9,0.1,5,yes,yes,yes,-
Qwen3.5-2B,UD-Q8_K_XL,unsloth,2.63,1.9B,Dense,640M,262144,all,512,no,9893.5,11.8,77.8,0.1,5,250k,all,512,9890.9,23.2,77.8,0.1,5,yes,yes,yes,-
Ministral-3-3B-Instruct-2512,Q4_K_M,unsloth,1.99,3.4B,Dense,802M,40k,all,512,no,6922.2,26.0,102.6,0.1,5,30k,all,512,6953.5,32.6,102.7,0.1,5,yes,no,-,-
Ministral-3-3B-Instruct-2512,Q4_K_M,mistralai,1.99,3.4B,Dense,802M,40k,all,512,no,6940.8,29.0,102.7,0.2,5,30k,all,512,6937.8,39.0,102.7,0.1,5,yes,no,-,-
Ministral-3-3B-Reasoning-2512,Q4_K_M,unsloth,1.99,3.4B,Dense,802M,40k,all,512,no,6948.0,62.3,102.7,0.1,5,30k,all,512,6956.6,19.3,102.7,0.1,5,yes,yes,no,-
Ministral-3-3B-Reasoning-2512,Q4_K_M,mistralai,1.99,3.4B,Dense,802M,40k,all,512,no,6936.0,48.0,102.7,0.1,5,30k,all,512,6912.9,42.0,102.8,0.1,5,yes,yes,no,-
Qwen3.5-4B,Q4_K_M,unsloth,2.54,4.2B,Dense,644M,125k,all,512,no,4109.1,30.6,72.5,0.1,5,100k,all,512,4124.9,40.3,72.5,0.1,5,yes,yes,yes,-
Qwen3.5-4B,Q4_K_M,bartowski,2.66,4.2B,Dense,644M,100k,all,512,no,4093.2,38.2,70.0,0.1,5,100k,all,512,4086.4,35.1,70.1,0.1,5,yes,yes,yes,-
Qwen3.5-4B,UD-Q4_K_XL,unsloth,2.70,4.2B,Dense,644M,100k,all,512,no,4136.0,38.2,69.4,0.1,5,100k,all,512,4137.7,35.3,69.4,0.1,5,yes,yes,yes,-
Qwen3.5-4B,Q5_K_M,unsloth,2.92,4.2B,Dense,644M,100k,all,512,no,3958.3,30.4,65.0,0.1,5,75k,all,512,3950.9,28.8,65.0,0.1,5,yes,yes,yes,-
Qwen3.5-4B,Q5_K_M,bartowski,3.08,4.2B,Dense,644M,100k,all,512,no,4082.3,35.0,62.4,0.1,5,75k,all,512,4065.2,23.6,62.4,0.1,5,yes,yes,yes,-
Qwen3.5-4B,UD-Q5_K_XL,unsloth,3.02,4.2B,Dense,644M,100k,all,512,no,3961.9,26.5,63.3,0.1,5,75k,all,512,3962.6,28.2,63.3,0.1,5,yes,yes,yes,-
Qwen3.5-4B,Q8_0,unsloth,4.16,4.2B,Dense,644M,50k,all,512,no,4130.8,42.9,48.3,0.0,5,50k,all,512,4133.1,33.1,48.3,0.1,5,yes,yes,yes,-
Qwen3.5-4B,Q8_0,bartowski,4.18,4.2B,Dense,644M,50k,all,512,no,4165.9,36.0,48.3,0.0,5,50k,all,512,4172.3,41.6,48.3,0.0,5,yes,yes,yes,-
Qwen3.5-4B,UD-Q8_K_XL,unsloth,5.53,4.2B,Dense,644M,20k,all,512,no,4026.7,29.1,37.8,0.0,5,5k,all,512,4028.2,29.7,37.8,0.0,5,yes,yes,yes,-
gemma-4-E2B,Q4_K_M,unsloth,2.88,4.6B,Dense,941M,131072,all,512,no,8302.3,9.4,130.3,0.3,5,131072,all,512,8146.4,26.3,130.3,0.3,5,yes,yes,yes,-
gemma-4-E2B,Q4_K_M,bartowski,3.21,4.6B,Dense,941M,131072,all,512,no,7879.3,46.2,126.1,0.2,5,131072,all,512,7868.9,44.4,126.0,0.2,5,yes,yes,yes,-
gemma-4-E2B,UD-Q4_K_XL,unsloth,2.94,4.6B,Dense,941M,131072,all,512,no,8225.5,69.4,126.0,0.3,5,131072,all,512,8157.2,26.9,126.0,0.2,5,yes,yes,yes,-
gemma-4-E2B,Q5_K_M,unsloth,3.11,4.6B,Dense,941M,131072,all,512,no,7833.1,229.7,115.5,0.2,5,131072,all,512,7898.4,102.6,115.4,0.2,5,yes,yes,yes,-
gemma-4-E2B,Q5_K_M,bartowski,3.39,4.6B,Dense,941M,131072,all,512,no,7700.7,22.5,114.8,0.2,5,131072,all,512,7669.6,12.6,114.8,0.2,5,yes,yes,yes,-
gemma-4-E2B,UD-Q5_K_XL,unsloth,3.98,4.6B,Dense,941M,131072,all,512,no,7915.1,82.8,112.8,0.2,5,131072,all,512,7914.6,36.4,112.8,0.2,5,yes,yes,yes,-
gemma-4-E2B,Q8_0,unsloth,4.69,4.6B,Dense,941M,131072,all,512,no,8136.9,58.0,84.7,0.1,5,131072,all,512,8089.2,89.4,84.7,0.1,5,yes,yes,yes,-
gemma-4-E2B,Q8_0,bartowski,4.61,4.6B,Dense,941M,131072,all,512,no,7998.4,162.2,86.7,0.1,5,131072,all,512,8151.7,57.1,86.6,0.1,5,yes,yes,yes,-
gemma-4-E2B,UD-Q8_K_XL,unsloth,4.89,4.6B,Dense,941M,131072,all,512,no,7942.2,170.5,79.2,0.1,5,131072,all,512,8026.4,83.8,79.2,0.1,5,yes,yes,yes,-
gemma-4-E4B,Q4_K_M,unsloth,4.62,7.5B,Dense,945M,131072,all,512,no,4692.3,12.0,70.1,0.1,5,131072,all,512,4652.6,25.0,70.1,0.1,5,yes,yes,yes,-
gemma-4-E4B,Q4_K_M,bartowski,5.02,7.5B,Dense,945M,131072,all,512,no,4577.0,16.9,68.5,0.1,5,131072,all,512,4559.6,20.7,68.5,0.1,5,yes,yes,yes,-
gemma-4-E4B,UD-Q4_K_XL,unsloth,4.74,7.5B,Dense,945M,131072,all,512,no,4687.2,12.4,67.8,0.1,5,131072,all,512,4638.1,37.0,67.7,0.1,5,yes,yes,yes,-
gemma-4-E4B,Q5_K_M,unsloth,5.09,7.5B,Dense,945M,131072,all,512,no,4530.7,25.5,61.7,0.1,5,125k,all,512,4502.3,33.8,61.7,0.1,5,yes,yes,yes,-
gemma-4-E4B,Q5_K_M,bartowski,5.41,7.5B,Dense,945M,131072,all,512,no,4428.7,12.5,61.7,0.1,5,125k,all,512,4412.7,4.8,61.7,0.1,5,yes,yes,yes,-
gemma-4-E4B,UD-Q5_K_XL,unsloth,6.18,7.5B,Dense,945M,131072,all,512,no,4491.2,25.9,60.1,0.1,5,100k,all,512,4466.2,29.0,60.1,0.1,5,yes,yes,yes,-
