model,quant,provider,kld
gemma-4-26B-A4B,UD-IQ2_XXS,unsloth,2.88
gemma-4-26B-A4B,UD-IQ2_M,unsloth,2.84
gemma-4-26B-A4B,UD-Q2_K_XL,unsloth,2.58
gemma-4-26B-A4B,UD-IQ3_S,unsloth,2.17
gemma-4-26B-A4B,UD-IQ3_XXS,unsloth,2.17
gemma-4-26B-A4B,UD-Q3_K_S,unsloth,1.74
gemma-4-26B-A4B,UD-Q3_K_M,unsloth,1.74
gemma-4-26B-A4B,UD-Q3_K_XL,unsloth,1.71
gemma-4-26B-A4B,UD-IQ4_XS,unsloth,1.45
gemma-4-26B-A4B,UD-IQ4_NL,unsloth,1.45
gemma-4-26B-A4B,UD-IQ4_NL_XL,unsloth,1.26
gemma-4-26B-A4B,MXFP4_MOE,unsloth,1.26
gemma-4-26B-A4B,UD-Q4_K_S,unsloth,1.0
gemma-4-26B-A4B,UD-Q4_K_M,unsloth,0.971
gemma-4-26B-A4B,UD-Q4_K_XL,unsloth,0.945
gemma-4-26B-A4B,UD-Q5_K_S,unsloth,0.818
gemma-4-26B-A4B,UD-Q5_K_XL,unsloth,0.713
gemma-4-26B-A4B,UD-Q6_K_XL,unsloth,0.589
gemma-4-26B-A4B,UD-Q6_K,unsloth,0.604
gemma-4-26B-A4B,UD-Q5_K_M,unsloth,0.731
gemma-4-26B-A4B,Q8_0,unsloth,0.555
gemma-4-26B-A4B,UD-Q8_K_XL,unsloth,0.533
gemma-4-26B-A4B,IQ2_XXS,bartowski,4.73
gemma-4-26B-A4B,IQ2_XS,bartowski,4.57
gemma-4-26B-A4B,IQ2_S,bartowski,4.51
gemma-4-26B-A4B,Q2_K,bartowski,4.0
gemma-4-26B-A4B,Q2_K_L,bartowski,3.99
gemma-4-26B-A4B,IQ2_M,bartowski,3.58
gemma-4-26B-A4B,Q3_K_S,bartowski,3.43
gemma-4-26B-A4B,Q3_K_M,bartowski,3.72
gemma-4-26B-A4B,Q3_K_L,bartowski,3.92
gemma-4-26B-A4B,Q3_K_XL,bartowski,3.89
gemma-4-26B-A4B,Q4_0,bartowski,2.37
gemma-4-26B-A4B,IQ3_XXS,bartowski,2.56
gemma-4-26B-A4B,IQ3_XS,bartowski,2.33
gemma-4-26B-A4B,IQ3_M,bartowski,2.11
gemma-4-26B-A4B,IQ4_XS,bartowski,1.76
gemma-4-26B-A4B,IQ4_NL,bartowski,1.73
gemma-4-26B-A4B,Q4_1,bartowski,1.6
gemma-4-26B-A4B,Q4_K_S,bartowski,1.56
gemma-4-26B-A4B,Q4_K_M,bartowski,1.29
gemma-4-26B-A4B,Q4_K_L,bartowski,1.27
gemma-4-26B-A4B,Q5_K_S,bartowski,1.02
gemma-4-26B-A4B,Q5_K_M,bartowski,0.936
gemma-4-26B-A4B,Q5_K_L,bartowski,0.896
gemma-4-26B-A4B,Q6_K,bartowski,0.69
gemma-4-26B-A4B,Q6_K_L,bartowski,0.638
gemma-4-26B-A4B,Q8_0,bartowski,0.555
Qwen3.6-35B-A3B,UD-IQ1_M,unsloth,0.193
Qwen3.6-35B-A3B,UD-IQ2_XSS,unsloth,0.158
Qwen3.6-35B-A3B,UD-IQ2_M,unsloth,0.139
Qwen3.6-35B-A3B,UD-Q2_K_XL,unsloth,0.115
Qwen3.6-35B-A3B,UD-IQ3_XXS,unsloth,0.0882
Qwen3.6-35B-A3B,UD-IQ3_S,unsloth,0.0842
Qwen3.6-35B-A3B,UD-Q3_K_S,unsloth,0.052
Qwen3.6-35B-A3B,UD-Q3_K_M,unsloth,0.0429
Qwen3.6-35B-A3B,UD-Q3_K_XL,unsloth,0.0424
Qwen3.6-35B-A3B,UD-IQ4_XS,unsloth,0.033
Qwen3.6-35B-A3B,UD-IQ4_NL,unsloth,0.0328
Qwen3.6-35B-A3B,UD-Q4_K_S,unsloth,0.0154
Qwen3.6-35B-A3B,MXFP4,unsloth,0.0231
Qwen3.6-35B-A3B,UD-Q4_K_M,unsloth,0.0125
Qwen3.6-35B-A3B,UD-Q4_K_XL,unsloth,0.0118
Qwen3.6-35B-A3B,UD-Q5_K_S,unsloth,0.00768
Qwen3.6-35B-A3B,UD-Q5_K_M,unsloth,0.00666
Qwen3.6-35B-A3B,UD-Q5_K_XL,unsloth,0.00658
Qwen3.6-35B-A3B,UD-Q6_K,unsloth,0.00526
Qwen3.6-35B-A3B,UD-Q6_K_XL,unsloth,0.00486
Qwen3.6-35B-A3B,IQ1_M,bartowski,0.416
Qwen3.6-35B-A3B,IQ2_XXS,bartowski,0.252
Qwen3.6-35B-A3B,IQ2_XS,bartowski,0.192
Qwen3.6-35B-A3B,IQ2_S,bartowski,0.181
Qwen3.6-35B-A3B,IQ2_M,bartowski,0.143
Qwen3.6-35B-A3B,Q2_K,bartowski,0.146
Qwen3.6-35B-A3B,Q2_K_L,bartowski,0.138
Qwen3.6-35B-A3B,IQ3_XXS,bartowski,0.076
Qwen3.6-35B-A3B,Q3_K_S,bartowski,0.0625
Qwen3.6-35B-A3B,Q3_K_M,bartowski,0.0574
Qwen3.6-35B-A3B,IQ3_XS,bartowski,0.0552
Qwen3.6-35B-A3B,IQ3_M,bartowski,0.0528
Qwen3.6-35B-A3B,Q3_K_L,bartowski,0.0638
Qwen3.6-35B-A3B,Q3_K_XL,bartowski,0.0621
Qwen3.6-35B-A3B,IQ4_XS,bartowski,0.0275
Qwen3.6-35B-A3B,IQ4_NL,bartowski,0.0272
Qwen3.6-35B-A3B,Q4_0,bartowski,0.0364
Qwen3.6-35B-A3B,Q4_K_S,bartowski,0.0212
Qwen3.6-35B-A3B,Q4_K_M,bartowski,0.0187
Qwen3.6-35B-A3B,Q4_K_L,bartowski,0.0177
Qwen3.6-35B-A3B,Q4_1,bartowski,0.0246
Qwen3.6-35B-A3B,Q5_K_S,bartowski,0.0106
Qwen3.6-35B-A3B,Q5_K_M,bartowski,0.00917
Qwen3.6-35B-A3B,Q5_K_L,bartowski,0.00863
Qwen3.6-35B-A3B,Q6_K,bartowski,0.0062
Qwen3.6-35B-A3B,Q6_K_L,bartowski,0.00555
Qwen3.6-35B-A3B,IQ3_S,AesSedai,0.0844
Qwen3.6-35B-A3B,IQ4_XS,AesSedai,0.0327
Qwen3.6-35B-A3B,Q4_K_M,AesSedai,0.0122
Qwen3.6-35B-A3B,Q5_K_M,AesSedai,0.00671
Qwen3.6-35B-A3B,APEX-I-Mini,mudler,0.0981
Qwen3.6-35B-A3B,APEX-Compact,mudler,0.0594
Qwen3.6-35B-A3B,APEX-I-Compact,mudler,0.0431
Qwen3.6-35B-A3B,APEX-Quality,mudler,0.0146
Qwen3.6-35B-A3B,APEX-I-Quality,mudler,0.0131
Qwen3.6-35B-A3B,APEX-Balanced,mudler,0.0105
Qwen3.6-35B-A3B,APEX-I-Balanced,mudler,0.00897
Qwen3.5-122B-A10B,IQ3_S,AesSedai,0.0613
Qwen3.5-122B-A10B,IQ4_XS,AesSedai,0.0235
Qwen3.5-122B-A10B,Q4_K_M,AesSedai,0.0096
Qwen3.5-122B-A10B,Q5_K_M,AesSedai,0.0058
Qwen3.5-122B-A10B,Q4_0,Ubergarm,0.0142
Qwen3.5-122B-A10B,IQ2_XXS,unsloth,0.1846
Qwen3.5-122B-A10B,Q2_K_XL,unsloth,0.097
Qwen3.5-122B-A10B,IQ3_XXS,unsloth,0.0501
Qwen3.5-122B-A10B,IQ3_S,unsloth,0.0457
Qwen3.5-122B-A10B,Q3_K_M,unsloth,0.0324
Qwen3.5-122B-A10B,UD-Q3_K_XL,unsloth,0.0308
Qwen3.5-122B-A10B,MXFP4_MOE,unsloth,0.0272
Qwen3.5-122B-A10B,Q4_K_M,unsloth,0.0192
Qwen3.5-122B-A10B,Q4_K_L,unsloth,0.015
Qwen3.5-122B-A10B,Q4_K_XL,unsloth,0.0137
Qwen3.5-122B-A10B,Q5_K_XL,unsloth,0.0069
Qwen3.5-122B-A10B,Q6_K_S,unsloth,0.0065
Qwen3.5-122B-A10B,Q6_K_XL,unsloth,0.0041
Qwen3.5-122B-A10B,Q8_K_XL,unsloth,0.0026
Qwen3.5-122B-A10B,IQ2_XXS,bartowski,0.3457
Qwen3.5-122B-A10B,Q2_K_L,bartowski,0.1559
Qwen3.5-122B-A10B,IQ3_XXS,bartowski,0.0851
Qwen3.5-122B-A10B,Q3_K_M,bartowski,0.0585
Qwen3.5-122B-A10B,Q3_K_XL,bartowski,0.0627
Qwen3.5-122B-A10B,IQ4_XS,bartowski,0.0234
Qwen3.5-122B-A10B,Q4_K_M,bartowski,0.0182
Qwen3.5-122B-A10B,Q5_K_M,bartowski,0.0106
Qwen3.5-122B-A10B,MXFP4_MOE_BF16,noctrex,0.0248
Qwen3.5-122B-A10B,MXFP4_MOE_F16,noctrex,0.0247
